,level_0,Unnamed: 0,index,Symbol,Name,Market Cap,Sector
0,0,0.0,0.0,A,Agilent Technologies Inc. Common Stock,34960679688.0,Industrials
1,1,1.0,1.0,AA,Alcoa Corporation Common Stock ,6090627210.0,Industrials
2,2,2.0,2.0,AACI,Armada Acquisition Corp. I Common Stock,0.0,Financials
3,3,3.0,4.0,AADI,Aadi Bioscience Inc. Common Stock,155174887.0,Healthcare
4,4,4.0,5.0,AAIC,Arlington Asset Investment Corp Class A (new),129607257.0,Real Estate
5,5,5.0,6.0,AAIC-PB,Arlington Asset Investment Corp 7.00% ,5918205737.281691,Real Estate
6,6,6.0,7.0,AAIC-PC,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,5918205737.281691,Real Estate
7,7,7.0,8.0,AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,670724572.0,Real Estate
8,8,8.0,9.0,AAL,American Airlines Group Inc. Common Stock,12123656625.0,Consumer Discretionary
9,9,9.0,10.0,AAM-PA,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,7836140598.904445,Financials
10,10,10.0,11.0,AAM-PB,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,7836140598.904445,Financials
11,11,11.0,13.0,AAME,Atlantic American Corporation Common Stock,38697737.0,Financials
12,12,12.0,14.0,AAN,Aarons Holdings Company Inc. Common Stock ,425922024.0,Consumer Discretionary
13,13,13.0,15.0,AAOI,Applied Optoelectronics Inc. Common Stock,243491971.0,Information Technology
14,14,14.0,16.0,AAON,AAON Inc. Common Stock,5163772938.0,Industrials
15,15,15.0,17.0,AAP,Advance Auto Parts Inc.,4089736880.0,Consumer Discretionary
16,16,16.0,18.0,AAPL,Apple Inc. Common Stock,2966590107000.0,Information Technology
17,17,17.0,19.0,AAT,American Assets Trust Inc. Common Stock,1211907727.0,Real Estate
18,18,18.0,20.0,AB,AllianceBernstein Holding L.P.  Units,3594926618.0,Financials
19,19,19.0,21.0,ABBV,AbbVie Inc. Common Stock,237279362100.0,Healthcare
20,20,20.0,22.0,ABC,AmerisourceBergen Corporation Common Stock,39041518780.0,Healthcare
21,21,21.0,23.0,ABCB,Ameris Bancorp Common Stock,2392010693.0,Financials
22,22,22.0,24.0,ABEO,Abeona Therapeutics Inc. Common Stock,76239411.0,Healthcare
23,23,23.0,25.0,ABG,Asbury Automotive Group Inc Common Stock,5235152620.0,Consumer Discretionary
24,24,24.0,26.0,ABIO,ARCA biopharma Inc. Common Stock,29396686.0,Healthcare
25,25,25.0,27.0,ABL,Abacus Life Inc. Class A Common Stock,0.0,Financials
26,26,26.0,29.0,ABM,ABM Industries Incorporated Common Stock,2764904054.0,Financials
27,27,27.0,30.0,ABNB,Airbnb Inc. Class A Common Stock,84222586703.0,Consumer Discretionary
28,28,28.0,31.0,ABOS,Acumen Pharmaceuticals Inc. Common Stock,203484298.0,Healthcare
29,29,29.0,32.0,ABR,Arbor Realty Trust Common Stock,2769953219.0,Real Estate
30,30,30.0,33.0,ABR-PD,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,5918205737.281691,Real Estate
31,31,31.0,34.0,ABR-PE,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,5918205737.281691,Real Estate
32,32,32.0,36.0,ABSI,Absci Corporation Common Stock,144305210.0,Healthcare
33,33,33.0,37.0,ABT,Abbott Laboratories Common Stock,186102107940.0,Healthcare
34,34,34.0,38.0,ABVC,ABVC BioPharma Inc. Common Stock,15104666.0,Healthcare
35,35,35.0,39.0,AC,Associated Capital Group Inc. Common Stock,760561609.0,Financials
36,36,36.0,40.0,ACA,Arcosa Inc. Common Stock ,3703972802.0,Industrials
37,37,37.0,45.0,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,4028231158.0,Healthcare
38,38,38.0,46.0,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,0.0,Financials
39,39,39.0,51.0,ACCD,Accolade Inc. Common Stock,939570350.0,Consumer Discretionary
40,40,40.0,52.0,ACCO,Acco Brands Corporation Common Stock,536283141.0,Consumer Discretionary
41,41,41.0,55.0,ACEL,Accel Entertainment Inc. ,909934223.0,Consumer Discretionary
42,42,42.0,56.0,ACER,Acer Therapeutics Inc. Common Stock (DE),21870066.0,Healthcare
43,43,43.0,57.0,ACET,Adicet Bio Inc. Common Stock ,145196641.0,Healthcare
44,44,44.0,58.0,ACGN,Aceragen Inc. Common Stock,13730312.0,Healthcare
45,45,45.0,59.0,ACHC,Acadia Healthcare Company Inc. Common Stock,7317676771.0,Healthcare
46,46,46.0,60.0,ACHR,Archer Aviation Inc. Class A Common Stock,1195171237.0,Industrials
47,47,47.0,61.0,ACHV,Achieve Life Sciences Inc. Common Shares,92368691.0,Healthcare
48,48,48.0,62.0,ACI,Albertsons Companies Inc. Class A Common Stock,12626959114.0,Consumer Staples
49,49,49.0,63.0,ACIW,ACI Worldwide Inc. Common Stock,2430752659.0,Information Technology
50,50,50.0,64.0,ACLS,Axcelis Technologies Inc. Common Stock,5820291361.0,Information Technology
51,51,51.0,66.0,ACM,AECOM Common Stock,12022004915.0,Consumer Discretionary
52,52,52.0,67.0,ACMR,ACM Research Inc. Class A Common Stock,789744549.0,Information Technology
53,53,53.0,68.0,ACNB,ACNB Corporation Common Stock,272744192.0,Financials
54,54,54.0,69.0,ACNT,Ascent Industries Co. Common Stock,92065152.0,Industrials
